TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,cmd,color,cmd,deg,cmd,A,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
179.575612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009878999999983762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.660523,,3.0,357.8346480703474,3475.0,0.0,,,,0.4606084573808423,0.35,0.0,,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,,-0.03531283968254684,0.0,,0.0,0.0,0.0,0.049269914627075195,0.0,0.0,,,0.35,0.0,1.0,,,0.08491100000000529,-0.9157747350099837,0.0,,,,9.291338582676964,,,,,0.0,,0.0,0.0,0.0,,0.0,99.41244676815558,-0.0,,-0.0,,,,1.0,,0.03531283968254684,,,0.0,,-2.1927009819512863E7,,-0.0,0.02293799999998214,,1.0,,1.0,7.47978428966816,,9.291338582676964,,1.0,,,-0.0411043446091458,0.0,,0.0,,,-0.03531283968254684,0.0,,0.0,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,99.3947903483143,,,1.0,0.0,,
179.688819,,3.0,0.09818276805175036,3475.0,0.0,,,,0.8345826325615678,0.35,0.0,,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,,-0.0361396780952532,0.0,,0.0,0.0,-6.103701889514923E-4,0.049269914627075195,0.0,0.0,,,0.35,0.0,1.0,,,0.028295999999983223,-0.9159911386889767,0.0,,,,9.251968503936805,,,,,0.0,,0.0,2.7466658502817154E-4,0.0,,0.0,99.41286018736193,-0.0,,-0.0,,,,1.0,,0.0361396780952532,,,0.0,,-2.1927009819512863E7,,-0.0,0.004539999999991551,,1.0,,1.0,7.47978428966816,,9.251968503936805,,1.0,,,-0.04798222953293975,0.0,,0.0,,,-0.0361396780952532,0.0,,0.0,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,99.3947903483143,,,1.0,0.0,,
179.694612,,3.0,357.692457414061,3475.0,0.0,,,,1.0093291534365798,0.35,24.8125,,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,,-0.040257775873016044,0.0,,0.0,0.0,-2.7466658502817154E-4,0.049269914627075195,0.0,0.0,,,0.35,0.0,1.0,,,0.005793000000011261,-0.917332322814375,0.0,,,,9.17322834645649,,,,,0.0,,0.06497390568256378,2.7466658502817154E-4,0.0,,0.0,99.41491923625081,-0.0,,-0.0,,,,1.0,,1.233919849062231,,,0.0,,-2.1927009819512863E7,,-0.0,0.0028709999999989577,,1.0,,1.0,7.47978428966816,,9.17322834645649,,1.0,,,-0.04129307864782188,0.0,,0.0,,,1.1534042973161989,0.0,,0.0,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,99.3947903483143,,,1.0,26.40625,,
179.698487,,3.0,357.692457414061,3475.0,0.0,,,,1.0093291534365798,0.35,24.8125,,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,,-0.040257775873016044,0.0,,0.0,0.0,-2.7466658502817154E-4,0.049269914627075195,0.0,0.0,,,0.35,0.0,1.0,,,0.0038749999999936335,-0.917332322814375,10.09375,,,,9.17322834645649,,,,,0.0,,0.06497390568256378,2.7466658502817154E-4,0.0,,0.0,99.41491923625081,-0.0,,-0.0,,,,1.0,,1.233919849062231,,,0.0,,-2.1927009819512863E7,,-0.0,0.003856000000013182,,1.0,,1.0,7.47978428966816,,9.17322834645649,,1.0,,,-0.04129307864782188,0.0,,0.0,,,1.1534042973161989,0.0,,0.0,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,99.3947903483143,,,1.0,26.40625,,
179.703625,,3.0,359.1926037472506,3475.0,0.0,,,,358.7176001944899,0.35,24.8125,,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,,-0.03964545238096662,0.0,,0.0,0.0625,-2.7466658502817154E-4,0.049269914627075195,0.0,0.0,,,0.35,0.0,1.0,,,0.0051379999999880965,-0.9189739846139969,10.09375,,,,9.17322834645649,,,,,0.0,,0.06497390568256378,0.009796441532671452,0.0,,0.0,99.41461307450479,-0.0,,-0.0,,,,1.0,,1.2333075255701815,,,0.0,,-2.1927009819512863E7,,-0.0,0.002966000000014901,,1.0,,1.0,7.47978428966816,,9.17322834645649,,1.0,,,-0.042037840407943144,0.0,,0.0,,,1.1540166208082483,0.0,,1.46875,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,99.3947903483143,,,1.0,26.40625,,
179.707582,,3.0,358.1097773500353,3475.0,0.0,,,,0.3779786828615062,0.35,24.8125,,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,,-0.03961885428572032,0.0,,0.0,0.0625,-2.7466658502817154E-4,0.049269914627075195,0.0,0.0,,,0.35,0.0,1.0,,,0.003957000000013977,-0.9246769572793955,10.09375,,,,9.17322834645649,,,,,0.0,,0.10498367249965668,0.009796441532671452,0.0,,0.0,99.41459977545716,-0.0,,-0.0,,,,1.0,,1.2332809274749352,,,0.0,,-2.1927009819512863E7,,-0.0,0.0029389999999978045,,1.0,,1.0,7.47978428966816,,9.17322834645649,,1.0,,,-0.046914884147010234,0.0,,0.0,,,1.1540432189034946,0.0,,1.46875,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,99.3947903483143,,,1.0,26.40625,,
179.715303,,3.0,356.94288412573,3475.0,0.0,,,,359.4358679550147,0.35,20.9375,,0.0,0.0,,,0.0,,,1.0,,0.0,74.21875,,-0.045301261269855786,0.0,,0.0,0.0625,0.009155552834272385,0.049269914627075195,0.0,0.0,,,0.35,0.0,1.0,,,0.007721000000003642,-0.9382062918732382,42.0,,,,9.19291338582657,,,,,0.0,,0.14499343931674957,0.009796441532671452,0.0,,0.0,99.41744097894923,-0.0,,-0.0,,,,1.0,,11.981921993162008,,,0.0,,-2.1927009819512863E7,,-0.0,0.002924000000007254,,1.0,,1.0,7.47978428966816,,9.19291338582657,,1.0,,,-0.05102782345702052,0.0,,0.0,,,11.891319470622296,0.0,,1.46875,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,99.3947903483143,,,1.0,22.90625,,
179.735474,,3.0,0.6985775243937974,3475.0,0.0,,-1.0,,1.047898743766615,0.35,7.78125,8.5625,0.0,0.0,,0.0,0.0,,,1.0,,0.0,49.0,96.4758017857143,-0.045271686666666255,0.0,0.0,0.0,0.0,0.09451582282781601,0.04364347457885742,0.0,0.0,,0.0,0.35,0.0,1.0,,,0.020171000000004824,-0.8918453385444595,71.25,0.0,74.6,,9.232283464566727,0.0,,,,0.0,,0.30500197410583496,0.0952482670545578,0.0,,0.0,99.41742619164764,388.5714416503906,11.05,-0.0,0.0,,86.2280868902439,1.0,0.176513671875,19.939639573153578,,0.0,0.0,,-2.1927009819512863E7,,22.85714340209961,0.025830999999982396,10.776849609374999,1.0,67.6,1.0,9.62051493778313,,9.232283464566727,0.0,1.0,,,-0.01334319559441177,0.0,-1.0,0.0,0.362548828125,424.0,19.849096199820245,0.0,,56.46875,,0.46142578125,1.0,0.5002966523170471,0.0625,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,99.3947903483143,,,1.0,10.125,,
