TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,RIO Input Voltage,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,cmd,color,cmd,deg,cmd,A,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,V,sec,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
91.726257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00762999999999181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.837033,,0.0,358.79951135223075,3475.0,0.0,,,,359.9039678143999,0.35,0.0,,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,,-0.040099619755778804,0.0,,0.0,0.0,0.0,0.04288673400878906,0.0,0.0,,,0.35,0.0,1.0,,,0.11077600000000132,-1.0588557667797425,0.0,,,,9.212598425196806,,,,,0.0,,0.0,0.0,0.0,,0.0,96.83916895428447,-0.0,,-0.0,,,,1.0,,0.040099619755778804,,,0.0,,0.0,,-0.0,,0.028721999999987702,1.0,,1.0,6.826811114167454,,9.212598425196806,,1.0,,,-0.23584389094323782,0.0,,0.0,,,-0.040099619755778804,0.0,,0.0,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,96.81911914440659,,,1.0,0.0,,
91.86879,,0.0,358.9417614326798,3475.0,0.0,,,,0.09619807426282123,0.35,0.0,,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,,-0.04215522131866578,0.0,,0.0,0.0,-3.0518509447574615E-4,0.04288673400878906,0.0,0.0,,,0.35,0.0,1.0,,,0.031756999999998925,-1.0569541277117211,0.0,,,,9.212598425196806,,,,,0.0,,0.029572436586022377,0.0,0.0,,0.0,96.84019675506592,-0.0,,-0.0,,,,1.0,,1.2358172945078807,,,0.0,,0.0,,-0.0,,0.007504999999994766,1.0,,1.0,6.826811114167454,,9.212598425196806,,1.0,,,-0.23625642786296136,0.0,,0.0,,,1.1515068518705491,0.0,,0.0,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,96.81911914440659,,,1.0,0.0,,
91.878592,,0.0,358.8992143497264,3475.0,0.0,,,,359.952142614404,0.35,0.0,,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,,-0.04596807557996385,0.0,,0.0,0.0,-3.0518509447574615E-4,0.04288673400878906,0.0,0.0,,,0.35,0.0,1.0,,,0.009801999999993427,-1.055976744581085,6.5,,,,9.173228346456646,,,,,0.0,,0.06897183507680893,3.0518509447574615E-4,0.0,,0.0,96.84210318219657,-0.0,,-0.0,,,,1.0,,1.2396301487691788,,,0.0,,0.0,,-0.0,,0.006603999999995835,1.0,,1.0,6.826811114167454,,9.173228346456646,,1.0,,,-0.23482013172700428,0.0,,0.0,,,1.147693997609251,0.0,,0.0,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,96.81911914440659,,,1.0,0.0,,
91.887503,,0.0,357.0415371461551,3475.0,0.0,,,,359.67142608106053,0.35,23.53125,,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,,-0.04958679755799267,0.0,,0.0,0.0,0.009094515815377235,0.04288673400878906,0.0,0.0,,,0.35,0.0,1.0,,,0.00891099999999767,-1.065371357507597,6.5,,,,9.173228346456646,,,,,0.0,,0.10898159444332123,3.0518509447574615E-4,0.0,,0.0,96.84391254318558,-0.0,,-0.0,,,,1.0,,11.986207529450144,,,0.0,,0.0,,-0.0,,0.007032000000009475,1.0,,1.0,6.826811114167454,,9.173228346456646,,1.0,,,-0.24027399373516875,0.0,,0.0,,,11.88703393433416,0.0,,0.0,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,96.81911914440659,,,1.0,26.5625,,
91.897463,,0.0,357.2831657741718,3475.0,0.0,,,,0.4444107355910941,0.35,23.53125,,0.0,0.0,,,0.0,,,1.0,,0.0,71.1875,,-0.05115170510376288,0.0,,0.0,0.0,0.009094515815377235,0.04288673400878906,0.0,0.0,,,0.35,0.0,1.0,,,0.00996000000000663,-1.0753900175884876,43.15625,,,,9.153543307086569,,,,,0.0,,0.14899136126041412,0.009826960042119026,0.0,,0.0,96.84469499695847,-0.0,,-0.0,,,,1.0,,11.987772436995915,,,0.0,,0.0,,-0.0,,0.005518999999992502,1.0,,1.0,6.826811114167454,,9.153543307086569,,1.0,,,-0.2377343215426267,0.0,,0.0,,,11.885469026788389,0.0,,35.6875,,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,96.81911914440659,,,1.0,26.5625,,
91.905172,,0.0,335.77707107136587,3475.0,0.0,,-1.0,,359.42287628612155,0.35,12.5,0.0,0.0,0.0,,0.0,0.0,,,1.0,,0.0,55.4375,109.95109464285716,-0.06728883326005075,0.0,0.0,0.0,4.25,0.09448530524969101,0.0443272590637207,0.0,0.0,,0.0,0.35,0.0,1.0,,,0.007708999999991306,-1.2836297282115803,71.46875,0.0,,,9.173228346456648,0.0,,,,0.0,,0.3089998960494995,0.09186071157455444,0.0,,0.0,96.85276356103661,114.28572082519531,10.95,0.5714285969734192,47.875,,,1.0,0.170654296875,19.961656719746962,,0.0,0.0,,0.0,,11.428571701049805,10.443878662109375,0.04325800000000868,1.0,,1.0,6.688957322314524,,9.173228346456648,1.0,1.0,,,-0.248888385664421,0.0,-1.0,0.0,0.36865234375,79.0,19.82707905322686,0.0,,63.84375,,0.461181640625,1.0,0.48522526025772095,6.0625,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,96.81911914440659,,,1.0,11.9375,,
91.949673,,0.0,333.93033722048443,3475.0,15.21875,,,,1.3622293607806355,0.35,12.5,,0.0,0.0,,,0.0,,,1.0,,26.375,55.4375,,-0.06690054039069082,0.0,,0.0,22.46875,0.07391583174467087,0.0443272590637207,0.0,0.0,,,0.35,0.0,1.0,,,0.044501000000011004,-1.4207258374531029,71.46875,,,,9.212598425196806,,,,,0.0,,0.3489791452884674,0.06787316501140594,0.0,,0.0,96.85256941460193,114.28572082519531,,4.5714287757873535,,,,1.0,,23.940142004175,,,0.0,,0.0,,11.428571701049805,,0.003259999999997376,1.0,,1.0,6.688957322314524,,9.212598425196806,,1.0,,,-0.24143224532446253,0.0,,0.0,,,23.80634092339362,0.0,,63.84375,,,1.0,,20.34375,0.0,,,,1.0,3.4285714626312256,0.0,,96.81911914440659,,,1.0,11.9375,,
91.954091,,0.0,343.8480000722378,3475.0,15.21875,,,,2.85035950914816,0.35,11.15625,,0.0,0.0,,,0.0,,,1.0,,26.375,29.96875,,-0.0642652079365007,0.0,,0.0,22.46875,0.07391583174467087,0.0443272590637207,0.0,0.0,,,0.35,0.0,1.0,,,0.004418000000001143,-1.501496617698499,71.46875,,,,9.212598425196806,,,,,0.0,,0.3489791452884674,0.06787316501140594,0.0,,0.0,96.85125174837484,451.4285888671875,,4.5714287757873535,,,,1.0,,23.93750667172081,,,0.0,,0.0,,11.428571701049805,,0.00282699999999636,1.0,,1.0,6.688957322314524,,9.212598425196806,,1.0,,,-0.21617545934034263,0.0,,0.0,,,23.80897625584781,0.0,,76.84375,,,1.0,,20.34375,0.0,,,,1.0,3.4285714626312256,0.0,,96.81911914440659,,,1.0,11.96875,,
