TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Side Tilt Angle,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,degrees,cmd,color,cmd,deg,cmd,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,degrees,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
347.656138,,1.0,339.456186914975,3475.0,31.78125,,,,,0.5451588423549039,0.35,8.8125,,,0.0,0.0,,,0.0,,,1.0,,35.3125,12.1875,,-0.20030119951184133,0.0,,0.0,25.15625,0.2597125172615051,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.01790899999997464,-3.167738628386681,73.6875,,,,8.622047244094375,,,,,0.0,,0.539292573928833,0.2563249468803406,0.0,,0.0,181.13608783446767,2000.0,,10.285715103149414,,,,,1.0,,43.96791054978296,,,0.0,,-1.2970907217176624E8,,217.14285278320312,0.010518999999987955,,1.0,,1.0,6.5868326289984935,,8.622047244094375,,1.0,,,-0.04376181208768467,0.0,,0.0,,,43.567308150759274,0.0,,99.90625,,,1.0,,32.90625,0.0,,,,1.0,9.142857551574707,0.0,,181.03593723471175,,,1.0,18.25,,
347.671915,,1.0,341.979394675978,3475.0,26.71875,,,,,0.38177130574978474,0.35,8.8125,,,0.0,0.0,,,0.0,,,1.0,,31.5,8.75,,-0.18901964476214062,0.0,,0.0,27.71875,0.2606280744075775,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.01577700000001414,-3.6553549298469976,85.21875,,,,8.838582677165242,,,,,0.0,,0.5655690431594849,0.25696584582328796,0.0,,0.0,181.13044705709282,2531.4287109375,,15.428572654724121,,,,,1.0,,47.93550257233073,,,0.0,,-1.2909140992332926E8,,320.0,0.0222599999999602,,1.0,,1.0,6.5868326289984935,,8.838582677165242,,1.0,,,-0.09438731607857555,0.0,,0.0,,,47.55746328280645,0.0,,94.0625,,,1.0,,27.75,0.0,,,,1.0,14.285715103149414,0.0,,181.03593723471175,,,1.0,18.25,,
347.701888,,1.0,342.612959233996,3475.0,26.71875,,,,,358.3553450025231,0.35,10.375,,,0.0,0.0,,,0.0,,,1.0,,32.28125,18.125,,-0.1940696241272235,0.0,,0.0,14.21875,0.21948912739753723,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.02997299999998404,-3.9999399279626457,101.4375,,,,9.01574803149595,,,,,0.0,,0.6642048358917236,0.21237830817699432,0.0,,0.0,181.13297204677536,3051.4287109375,,22.857145309448242,,,,,1.0,,51.919426128993145,,,0.0,,-1.2816491655067378E8,,445.71429443359375,0.009532999999976255,,1.0,,1.0,6.5868326289984935,,9.01574803149595,,1.0,,,-0.07370064415278905,0.0,,0.0,,,51.5312868807387,0.0,,63.625,,,1.0,,13.53125,0.0,,,,1.0,21.142858505249023,0.0,,181.03593723471175,,,1.0,19.53125,,
347.716709,,1.0,352.6620861486582,3475.0,24.875,,,,,355.85801113423406,0.35,8.59375,,,0.0,0.0,,,0.0,,,1.0,,25.40625,11.0,,-0.20602816566565707,0.0,,0.0,24.46875,0.28281503915786743,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.014820999999983542,-4.109027089984221,101.4375,,,,8.838582677165242,,,,,0.0,,0.7272560596466064,0.27561265230178833,0.0,,0.0,181.13895131754458,3051.4287109375,,22.857145309448242,,,,,1.0,,55.91025824782908,,,0.0,,-1.275472543022368E8,,445.71429443359375,0.013663000000008196,,1.0,,1.0,6.5868326289984935,,8.838582677165242,,1.0,,,-0.0827611218976636,0.0,,0.0,,,55.49820191649776,0.0,,80.8125,,,1.0,,30.5625,0.0,,,,1.0,21.142858505249023,0.0,,181.03593723471175,,,1.0,20.0625,,
347.737002,,1.0,339.1004384746488,3475.0,23.625,,,,,358.05541268867717,0.35,10.125,,,0.0,0.0,,,0.0,,,1.0,,31.40625,10.5,,-0.22257971279634603,0.0,,0.0,16.90625,0.26633504033088684,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.020293000000037864,-4.310293681591416,48.5,,,,8.641732283464455,,,,,0.0,,1.0,0.2593157887458801,0.0,,0.0,181.14722709110993,3565.71435546875,,22.857145309448242,,,,,1.0,,59.90568337225694,,,0.0,,-1.2692959205379981E8,,445.71429443359375,0.008704999999963547,,1.0,,1.0,6.5868326289984935,,8.641732283464455,,1.0,,,-0.08964924485227334,0.0,,0.0,,,59.460523946664246,0.0,,80.8125,,,1.0,,29.40625,0.0,,,,1.0,29.142858505249023,0.0,,181.03593723471175,,,1.0,18.5,,
347.752793,,1.0,347.77857005394594,3475.0,21.6875,,,,,0.0,0.35,8.21875,,,0.0,0.0,,,4.5,,,1.0,,25.09375,13.625,,-0.2025201721613712,0.0,,0.0,16.90625,0.29783013463020325,0.04698538780212402,0.0,0.0,,,0.35,0.0,1.0,,,0.015790999999978794,-4.487079072828204,78.40625,,,,8.661417322834534,,,,,4.375,,0.9373149871826172,0.29108554124832153,0.0,,0.0,181.13719732079244,3942.857421875,,30.857145309448242,,,,,1.0,,63.86449740891945,,,0.0,,-1.2631192980536284E8,,600.0,0.012242000000014741,,1.0,,1.0,6.5868326289984935,,8.661417322834534,,1.0,,,-0.03459776026256062,0.0,,0.0,,,63.459457064596705,0.0,,87.0,,,1.0,,24.15625,0.0,,,,1.0,29.142858505249023,0.0,,181.03593723471175,,,1.0,17.625,,
347.770551,,1.0,351.38826612818053,3475.0,19.46875,,,-1.0,,359.82755049668987,0.35,8.65625,-11.968475651583816,7.3125,0.0,0.0,,0.0,4.5,,,1.0,,17.90625,18.4375,72.89403928571429,-0.20523669523828403,0.0,0.0,0.0,17.90625,0.2782067358493805,0.10510444641113281,0.0,0.0,,0.0,0.35,0.0,1.0,,,0.017758000000014817,-4.709383952168844,72.5,0.0,,,8.622047244094377,0.0,,,,4.375,,1.0,0.27457502484321594,0.0,,0.0,181.1385555823309,3942.857421875,9.5,38.85714340209961,78.03152434841618,188.0,,,1.0,0.173583984375,67.84608750929365,,0.0,0.0,,-1.2569426755692586E8,,771.4285888671875,0.024618999999972857,9.061735107421875,1.0,,1.0,4.147544582378267,,8.622047244094377,0.0,1.0,,,-0.047298035404803894,0.0,-1.0,3.125,0.3642578125,269.0,67.43561411881709,0.0,,77.125,,0.46240234375,1.0,0.5089460015296936,18.8125,0.0,0.0,,0.0,1.0,37.714290618896484,0.0,0.0,181.03593723471175,,,1.0,17.75,,
347.826886,,1.0,354.20572745023986,3475.0,12.875,,,,,359.2880553103064,0.35,8.625,,,0.0,0.0,,,4.5,,,1.0,,8.125,16.53125,,-0.2456805732113594,0.0,,0.0,14.09375,0.21723075211048126,0.05091428756713867,0.0,0.0,,,0.35,0.0,1.0,,,0.05633499999999003,-4.753145268768703,79.3125,,,,8.799212598425086,,,,,4.375,,1.0,0.2067934274673462,0.0,,0.0,181.15877752131743,4102.857421875,,48.000003814697266,,,,,1.0,,75.84427854186171,,,0.0,,-1.2476777418427038E8,,954.2857666015625,0.02577999999999747,,1.0,,1.0,7.421563440567211,,8.799212598425086,,1.0,,,-0.09685123318504575,0.0,,3.125,,,75.352917395439,0.0,,61.65625,,,1.0,,10.0,0.0,,,,1.0,53.142860412597656,0.0,,181.03593723471175,,,1.0,19.65625,,
347.870254,,1.0,350.8585713604664,3475.0,9.40625,,,,,2.7480204300432898,0.35,7.90625,,,0.0,0.0,,,4.625,,,1.0,,8.8125,13.0625,,-0.2984876624665276,0.0,,0.0,8.0625,0.22876675426959991,0.05091428756713867,0.0,0.0,,,0.35,0.0,1.0,,,0.04336799999998675,-4.698020738911105,64.71875,,,,8.838582677165244,,,,,4.375,,0.809564471244812,0.2223883718252182,0.0,,0.0,181.18518106594502,4045.714599609375,,63.4285774230957,,,,,1.0,,83.85483278571155,,,0.0,,-1.241501119358334E8,,1342.857177734375,0.014681999999993423,,1.0,,1.0,7.421563440567211,,8.838582677165244,,1.0,,,-0.06794936953756368,0.0,,2.875,,,83.2578574607785,0.0,,89.21875,,,1.0,,10.8125,0.0,,,,1.0,61.714290618896484,0.0,,181.03593723471175,,,1.0,20.21875,,
347.896271,,1.0,348.92448457887025,3475.0,10.25,,,,,0.36343017123046345,0.35,10.5,,,0.0,0.0,,,4.625,,,1.0,,10.90625,13.0,,-0.3141168052504213,0.0,,0.0,10.28125,0.2538834810256958,0.05091428756713867,0.0,0.0,,,0.35,0.0,1.0,,,0.02601700000002438,-4.718212875749472,44.0625,,,,8.661417322834534,,,,,4.5,,1.0,0.2449110448360443,0.0,,0.0,181.19299563733696,3982.857421875,,70.28572082519531,,,,,1.0,,91.8282090830901,,,0.0,,-1.235324496873964E8,,1342.857177734375,0.011257999999997992,,1.0,,1.0,7.421563440567211,,8.661417322834534,,1.0,,,-0.10420737941445915,0.0,,3.375,,,91.19997547258926,0.0,,80.75,,,1.0,,12.65625,0.0,,,,1.0,68.0,0.0,,181.03593723471175,,,1.0,20.21875,,
